id,Rating 2.0,Surviving,KAST,IMPACT,ADR,KPR,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating vs top 5 opponents,#Maps vs top 5 opponents,Rating vs top 10 opponents,#Maps vs top 10 opponents,Rating vs top 20 opponents,#Maps vs top 20 opponents,Rating vs top 30 opponents,#Maps vs top 30 opponents
ZywOo,1.31,0.56,77.0%,1.37,82.9,0.82,2831,42.5%,1956,1.45,82.9,3.5,134,3463,0.82,0.12,0.56,0.08,0.12,1.24,41,1.27,64,1.29,98,1.31,109
sh1ro,1.21,0.56,75.0%,1.14,76.4,0.78,2197,31.0%,1592,1.38,76.4,3.9,107,2825,0.78,0.09,0.56,0.07,0.12,1.21,23,1.19,37,1.19,81,1.19,95
blameF,1.20,0.59,73.8%,1.20,82.8,0.74,1867,36.7%,1510,1.24,82.8,8.0,98,2539,0.74,0.15,0.59,0.08,0.09,1.12,25,1.16,41,1.17,74,1.19,85
device,1.20,0.59,72.4%,1.23,78.5,0.76,1932,30.3%,1509,1.28,78.5,4.6,98,2539,0.76,0.10,0.59,0.07,0.08,1.16,25,1.18,41,1.20,74,1.19,85
NiKo,1.20,0.63,72.7%,1.27,83.5,0.75,2582,55.1%,2161,1.19,83.5,7.3,132,3427,0.75,0.14,0.63,0.07,0.10,1.19,40,1.20,66,1.17,102,1.18,115
KSCERATO,1.19,0.58,75.4%,1.13,81.1,0.72,1716,48.8%,1384,1.24,81.1,6.6,94,2377,0.72,0.15,0.58,0.08,0.09,1.25,10,1.18,27,1.11,67,1.12,74
frozen,1.19,0.58,75.3%,1.11,80.8,0.72,2195,50.4%,1765,1.24,80.8,6.8,124,3057,0.72,0.16,0.58,0.07,0.10,1.12,38,1.18,60,1.18,88,1.19,108
m0NESY,1.18,0.59,73.1%,1.19,75.3,0.75,2570,38.9%,2038,1.26,75.3,2.5,132,3427,0.75,0.09,0.59,0.10,0.09,1.16,40,1.15,66,1.17,102,1.17,115
s1mple,1.18,0.60,72.7%,1.18,77.5,0.75,2092,39.7%,1676,1.25,77.5,3.0,103,2779,0.75,0.09,0.60,0.08,0.10,1.14,32,1.16,43,1.18,76,1.18,84
Spinx,1.17,0.61,75.1%,1.13,78.9,0.75,2590,54.1%,2119,1.22,78.9,3.5,134,3463,0.75,0.12,0.61,0.08,0.10,1.15,41,1.14,64,1.16,98,1.17,109
ropz,1.17,0.61,73.2%,1.12,80.0,0.75,3388,56.4%,2729,1.24,80.0,3.4,177,4504,0.75,0.11,0.61,0.06,0.10,1.12,59,1.16,94,1.16,148,1.16,162
NertZ,1.15,0.64,72.4%,1.18,78.9,0.73,2162,50.2%,1879,1.15,78.9,3.9,117,2957,0.73,0.13,0.64,0.08,0.09,1.09,36,1.07,46,1.08,79,1.11,94
SunPayus,1.15,0.58,73.4%,1.13,72.5,0.72,2251,30.6%,1818,1.24,72.5,2.7,124,3139,0.72,0.09,0.58,0.08,0.10,1.12,36,1.10,46,1.11,85,1.14,101
stavn,1.15,0.65,73.9%,1.14,81.1,0.73,2407,43.9%,2152,1.12,81.1,6.4,124,3298,0.73,0.16,0.65,0.10,0.13,1.07,24,1.08,43,1.10,82,1.13,104
broky,1.13,0.61,74.0%,1.04,73.9,0.73,3273,34.6%,2765,1.18,73.9,3.7,177,4504,0.73,0.11,0.61,0.10,0.10,1.07,59,1.10,94,1.11,148,1.12,162
Magisk,1.12,0.62,74.1%,1.06,77.6,0.68,2099,50.7%,1904,1.10,77.6,6.9,116,3080,0.68,0.14,0.62,0.10,0.09,1.08,37,1.08,53,1.08,82,1.09,93
torzsi,1.12,0.58,73.4%,1.06,69.1,0.70,2102,31.7%,1738,1.21,69.1,2.5,123,3020,0.70,0.09,0.58,0.08,0.09,1.04,36,1.10,57,1.06,87,1.10,107
NAF,1.11,0.60,74.4%,0.94,77.7,0.68,1877,41.6%,1668,1.13,77.7,6.1,101,2766,0.68,0.14,0.60,0.09,0.10,1.06,21,1.07,29,1.05,64,1.09,80
Ax1Le,1.11,0.67,71.6%,1.13,79.1,0.71,2302,49.4%,2168,1.06,79.1,6.0,131,3257,0.71,0.15,0.67,0.09,0.09,1.10,38,1.09,52,1.08,103,1.09,117
electroNic,1.10,0.69,70.6%,1.19,79.0,0.70,2453,49.0%,2390,1.03,79.0,5.0,137,3486,0.70,0.16,0.69,0.12,0.10,1.01,43,1.04,55,1.08,109,1.09,119
Krimbo,1.10,0.59,73.9%,0.98,73.7,0.67,1911,49.5%,1687,1.13,73.7,6.3,106,2842,0.67,0.11,0.59,0.07,0.09,1.14,32,1.09,48,1.09,73,1.10,95
EliGE,1.10,0.67,71.5%,1.12,79.2,0.70,2294,51.0%,2188,1.05,79.2,4.4,128,3267,0.70,0.16,0.67,0.10,0.12,1.00,32,1.08,53,1.07,92,1.08,109
Twistzz,1.10,0.63,73.7%,1.03,74.3,0.68,2941,57.5%,2691,1.09,74.3,5.1,168,4300,0.68,0.14,0.63,0.10,0.11,1.05,55,1.07,87,1.06,141,1.08,153
jabbi,1.10,0.64,73.0%,1.10,73.6,0.69,2259,56.6%,2096,1.08,73.6,4.4,123,3276,0.69,0.13,0.64,0.11,0.11,1.04,24,1.09,43,1.09,82,1.09,103
xertioN,1.09,0.70,70.5%,1.18,79.9,0.70,2118,53.2%,2118,1.00,79.9,5.1,123,3020,0.70,0.16,0.70,0.09,0.08,1.07,36,1.06,57,1.09,87,1.09,107
mezii,1.09,0.64,72.9%,1.04,76.0,0.68,2099,55.2%,1981,1.06,76.0,5.1,120,3094,0.68,0.14,0.64,0.11,0.11,1.07,18,1.04,45,1.08,90,1.08,102
cadiaN,1.09,0.58,71.7%,1.05,71.1,0.66,2185,29.4%,1926,1.13,71.1,7.3,125,3312,0.66,0.12,0.58,0.08,0.09,1.06,26,1.08,45,1.07,83,1.08,105
huNter-,1.09,0.65,71.9%,1.03,76.4,0.70,2408,48.0%,2227,1.08,76.4,6.5,132,3427,0.70,0.14,0.65,0.09,0.11,1.08,40,1.06,66,1.06,102,1.07,115
b1t,1.08,0.62,72.1%,1.04,72.4,0.68,2244,64.6%,2063,1.09,72.4,3.2,128,3316,0.68,0.11,0.62,0.09,0.09,0.99,42,1.04,62,1.06,98,1.06,109
YEKINDAR,1.08,0.68,68.9%,1.19,77.6,0.68,1878,56.7%,1885,1.00,77.6,5.0,101,2766,0.68,0.13,0.68,0.09,0.08,1.07,21,1.07,29,1.01,64,1.04,80
iM,1.08,0.68,69.5%,1.13,77.5,0.69,1651,46.0%,1626,1.02,77.5,2.9,95,2399,0.69,0.14,0.68,0.08,0.08,1.02,27,1.03,41,1.06,74,1.07,80
flameZ,1.08,0.65,72.9%,1.06,74.6,0.66,2117,49.1%,2067,1.02,74.6,6.0,124,3195,0.66,0.15,0.65,0.13,0.11,1.01,32,1.02,58,1.04,89,1.05,94
headtr1ck,1.07,0.57,72.5%,0.94,67.5,0.68,1928,30.9%,1630,1.18,67.5,3.0,109,2853,0.68,0.09,0.57,0.08,0.11,1.01,23,1.01,48,1.04,83,1.06,98
yuurih,1.07,0.64,71.5%,1.01,77.2,0.66,1571,45.3%,1517,1.04,77.2,4.9,94,2377,0.66,0.16,0.64,0.08,0.10,1.07,10,1.04,27,1.03,67,1.04,74
TeSeS,1.07,0.66,73.0%,1.04,73.7,0.66,2370,52.3%,2353,1.01,73.7,5.2,137,3566,0.66,0.15,0.66,0.12,0.11,1.01,30,1.05,49,1.03,92,1.04,114
sjuush,1.06,0.64,72.4%,1.00,73.0,0.66,2354,47.7%,2297,1.02,73.0,4.9,137,3566,0.66,0.14,0.64,0.13,0.10,1.00,30,1.02,49,1.04,92,1.04,114
rain,1.06,0.69,70.2%,1.11,77.3,0.67,2897,58.3%,2977,0.97,77.3,5.6,170,4335,0.67,0.16,0.69,0.10,0.08,1.04,59,1.04,94,1.06,143,1.06,155
jks,1.06,0.60,74.5%,0.89,70.5,0.64,2069,56.1%,1939,1.07,70.5,4.6,124,3236,0.64,0.11,0.60,0.09,0.11,1.06,35,1.05,58,1.04,94,1.05,107
HObbit,1.05,0.66,70.6%,1.07,74.7,0.65,2338,47.5%,2361,0.99,74.7,5.5,142,3576,0.65,0.15,0.66,0.09,0.08,0.93,38,0.96,55,1.03,114,1.04,128
hallzerk,1.05,0.61,70.7%,1.00,68.0,0.67,1862,35.8%,1701,1.09,68.0,3.5,111,2774,0.67,0.09,0.61,0.10,0.11,0.89,32,0.99,56,1.02,87,1.03,101
REZ,1.05,0.64,70.6%,1.03,72.8,0.66,1887,51.6%,1835,1.03,72.8,4.4,109,2853,0.66,0.13,0.64,0.09,0.11,0.90,23,1.00,48,1.04,83,1.05,98
dycha,1.05,0.66,70.4%,1.01,76.1,0.66,1920,49.8%,1928,1.00,76.1,6.3,114,2930,0.66,0.16,0.66,0.08,0.09,1.02,33,1.01,43,1.01,79,1.03,91
jL,1.04,0.67,70.5%,1.02,74.2,0.68,1562,50.6%,1549,1.01,74.2,4.3,90,2302,0.68,0.14,0.67,0.09,0.10,0.93,27,0.97,46,1.00,68,1.02,77
Grim,1.04,0.69,71.9%,1.03,73.9,0.67,2087,50.5%,2136,0.98,73.9,4.0,124,3113,0.67,0.14,0.69,0.13,0.14,1.03,37,1.05,61,1.02,96,1.04,110
oSee,1.04,0.59,70.9%,0.95,66.3,0.66,1834,29.1%,1645,1.11,66.3,1.7,101,2766,0.66,0.08,0.59,0.10,0.10,1.06,21,1.05,29,1.02,64,1.05,80
k0nfig,1.03,0.70,69.0%,1.06,74.5,0.68,1753,57.6%,1792,0.98,74.5,3.2,98,2565,0.68,0.13,0.70,0.10,0.09,1.02,23,0.99,42,1.00,72,1.03,87
Perfecto,1.03,0.60,73.3%,0.85,70.4,0.63,2198,44.7%,2107,1.04,70.4,5.8,137,3486,0.63,0.13,0.60,0.09,0.10,1.00,43,1.01,55,1.03,109,1.02,119
dupreeh,1.03,0.64,71.4%,0.98,70.6,0.63,1421,49.5%,1443,0.98,70.6,4.5,86,2241,0.63,0.14,0.64,0.11,0.10,0.97,29,0.98,40,1.03,66,1.04,75
floppy,1.03,0.65,72.0%,0.95,73.1,0.63,1970,48.3%,2035,0.97,73.1,3.2,124,3113,0.63,0.15,0.65,0.11,0.12,0.96,37,1.04,61,1.03,96,1.03,110
Brollan,1.01,0.67,68.9%,1.05,73.4,0.62,1649,52.5%,1804,0.91,73.4,6.0,102,2675,0.62,0.14,0.67,0.09,0.08,0.88,19,0.95,44,0.99,76,1.00,93
tabseN,1.01,0.71,68.2%,1.03,77.6,0.64,1808,52.5%,2006,0.90,77.6,8.9,106,2842,0.64,0.16,0.71,0.11,0.09,0.97,32,0.98,48,0.99,73,1.01,95
Maden,1.01,0.68,69.8%,0.97,73.9,0.66,2063,50.0%,2146,0.96,73.9,5.1,124,3139,0.66,0.15,0.68,0.09,0.09,0.99,36,1.00,46,1.00,85,1.01,101
KRIMZ,1.01,0.64,69.0%,0.93,71.6,0.64,1719,45.7%,1721,1.00,71.6,4.4,102,2677,0.64,0.13,0.64,0.09,0.10,0.97,17,0.96,37,0.98,77,0.99,89
roeJ,1.01,0.69,67.4%,1.06,74.5,0.64,1736,53.7%,1884,0.92,74.5,4.7,102,2711,0.64,0.14,0.69,0.11,0.10,0.98,14,0.96,34,0.98,74,0.99,86
arT,1.00,0.70,67.1%,1.10,71.6,0.63,1499,46.8%,1664,0.90,71.6,4.2,94,2377,0.63,0.14,0.70,0.09,0.07,1.00,10,0.99,27,0.94,67,0.96,74
siuhy,1.00,0.69,69.5%,0.99,70.1,0.63,1597,49.3%,1744,0.92,70.1,4.2,105,2545,0.63,0.14,0.69,0.12,0.08,0.90,32,0.92,48,0.97,75,0.98,86
F1KU,0.97,0.68,69.4%,0.88,70.2,0.61,1417,55.7%,1571,0.90,70.2,3.7,86,2326,0.61,0.13,0.68,0.10,0.09,0.89,27,0.93,43,0.94,65,0.95,68
Aleksib,0.97,0.65,69.8%,0.88,67.6,0.58,1909,42.8%,2145,0.89,67.6,7.1,129,3312,0.58,0.15,0.65,0.10,0.08,0.88,31,0.88,63,0.93,101,0.96,115
Buzz,0.96,0.67,69.8%,0.89,67.4,0.60,1446,48.4%,1616,0.89,67.4,2.6,93,2420,0.60,0.13,0.67,0.10,0.09,0.91,25,0.91,39,0.94,69,0.94,80
apEX,0.95,0.65,68.6%,0.88,68.9,0.57,1976,42.8%,2252,0.88,68.9,7.5,134,3463,0.57,0.17,0.65,0.10,0.07,0.89,41,0.91,64,0.93,98,0.94,109
Snappi,0.94,0.70,68.3%,0.90,69.7,0.59,1688,48.8%,1988,0.85,69.7,5.8,110,2854,0.59,0.15,0.70,0.09,0.06,0.94,36,0.92,43,0.89,75,0.92,91
